Document_id,clean_text,sentiment
1,margot best she given film disappoint market fun quirki satir homag movi start way end overdramat speech end clearli tri make audienc feel someth left everyon feel confus say im crotcheti old man im woman im pretti sure im movi target audienc saddest part parent kid theater victim poor market kid movi overal humor fun occas film beauti look whole concept fall apart second half film becom piti parti strong woman,Positive
2,make barbi greta gerwig singlehandedli direct two film ladi bird littl woman girl precipic adolesc nuanc layer portray motherdaught relationship combin imagin visual clever dialogu good given credenti one may expect barbi intellig convinc amus pictur well isntth fantasi comedi begin barbi land place barbi play margot robbi best day everi day compani barbi occasion ken design costum cinematographi excel job recreat mattel vision pink plastic perfect introduct referenti overtli reliant extern film smartli selfawar present world barbi anyth presid physicist journalist lawyer mermaid much like origin toy ken ryan gosl come afterthought exist within warmth barbi gazeth plot set motion barbi begin thought death normal suspend state stand ball foot feel heel hit ground follow wizard oz journey revers parallel explicit ultim pinocchio storylin doll real worldif barbi fulli dedic conceit promis trailer could interest explor way truman show stranger fiction instead film choos introduc hand conflict threat plotlin never fulli realis natur connect barbi girl play doll real world would happen barbi put back box gloria america ferrera receptionist mattel headquart later barbi realworld companion depress eventu resolv gloria daughter sasha ariana greenblatt cross mother board mattel spend one third film hide bush importantli crux thirdact conflict set barbi land renam kendom contradict previous establish world inhabitantstoward final product evolv explicit commentari gender role one side present clueless attentionseek manipul veng film repeatedli take offenc mansplain yet behav blith patronis manner toward viewer much declar support shown pictur reli presum prior experi audienc rather storytel denouement includ one film highlight music number im ken end resolv acknowledg much final scene reduct point offensivebarbi easi eye act rang compet inspir praiseworthi perform lead actor margot robbi pitchperfect barbi ryan gosl shine counterpart often steal show situat comedi slapstick mostli land bon mot funni yet hardli spoken charactersif better written joyrid pink convert leav blond hair mouth,Positive
3,qualiti humor write movi fun quirki uniqu get weed tri explor deeper theme movi miss middl exposit phase movi must say boreth movi close great incap deliv messag without charact liter give speech worth dialoguewhat could great satir began cleverli funni movi turn preachi moral movi end guess charm first half movi made shortcom,Positive
4,much pain give movi call barbi brilliantli handl fine craft give filmak credit ye somewhat conserv person former law enforc offic im guy like guy thing hell even enjoy battleship movi year ago absolut ridicul fun romp action film also like experi perspect man oh man movi deliv spade pretti much encapsul everyth wife tri convey entir career life experi wrap two hour humor set act abil weav current narr stori perfect dont agre point movi that ok movi wasnt design give balanc perspect men versu woman noholdsbar unapologet crazi ride rant real issu woman face sinc allow real job thing men give well done film blast watch make think done place creativ passion attent detail ill call masterpiec,Positive
5,woman grew barbi excit movi curiou see would evolv stereotyp barbi someth messag movi heavi hand complet lost plot consid propon gender equal aint way get itbarbieland flip script patriarchi real world give woman power leav ken attract accessori ken get glimps real world bring patriarchi barbieland barbi brainwash happen suddenli without much explan ken bumbl fool zero understand govern barbieland fall disarrayth movi solut barbi give lot ted talk patriarchi fool ken war rule isnt point gender equal equalityth feminist messag could much effect laid thick humor nuanc plea stori get lost real world charact dont add much much chang endwhat enjoy act set cours nostalgia,Positive
6,pain say enjoy movi much expect music number humour truli someth whole famili yo enjoybright garish somewhat kitsch expect sure verit cornucopia glitter rainbow wasnt expect film engag there actual real depth wasnt expect open introduct came major surpris pretti much set toneof cours plenti doubl entendr laugh adult enjoy kid doubt chuckl away tooim pretti sure film go win award product well made creativ design visual lot thought gone greta gerwig great jobmargot robbi gloriou barbi ryan gosl great thought pair share terrif scene real chemistri plenti cut one linersgreat use music everyth fit film well,Positive
7,first reason go see itit good fun fairytal comedi top pastich work simpli margot robi ryan gosl great chemistri everybodi sorta agre thatkid probabl target audienc although would watch wouldnt shock someth would mere miss social gender issu joke mani scenesth second reason go see itit realli look part set costum particular impress fun world creat realli look fabul realli appreci movi eyecandi start till finishth third best reason go see iti dude honestli fear worst go along wife honestli expect sugarco fairytal barbieworld touch heart end whatthey somehow creat final gave goosebump terrif feel good vibe cant wish dude watch barbi pictur helloth reason see itif dude dont like men portray weak emot inferior woman better go see men hilari looser whiner movi brilliant perform ryan gosl insecur crybabi cant get barbi love himfear worst end pleasantli supris certainli brilliant movi perfect summer escap movi lot joke wonder feel good vibe,Positive
8,thought would much differ end made feel sad empti ken barbi dont end togeth made ken seem like complet idiot actual present men dumb throughout whole movi im man that true depress sad never way barbi creat know lot peopl wont agre that okay pointless go see good thing barbi aesthet beauti donei like way present men almost like want woman turn men case point movi degrad mani peopl,Negative
9,dont know put spoiler super worn haha put didi clue movi like seem like strang differ type movi go kind movi kid tell everyth perfect noth like thatther coupl young teen girl right mom felt weird know way would bring kid teen see thisth movi realli focus polit gender view one total surpris mether point kind roll eye bit sing kind went also time tearyther sexual refer young kid would understand one part tell specif thing specif thing ken bit strangeth end threw movi seem say equal treat way yet time seem make men mindless idiot also someth one male charact ask end repli woman give seem lead one believ thing exact unlik way thing seem barbi land woman men didnt realli get may last line movi place barbi somewher didnt get point iti heard adult laugh repeatedli kid kind sat silentthi one movi cannot see everi watch fun uniqu see theater also dug set design stuff barbi world cool see,Positive
10,went see today everyon group dress pink readi least entertain pastelcolor camp two hour barbi kind succe love costum set barbieland margot robi fantast actress perfect embodi optimist shecandoital barbi ryan gosl scenesteal hors ob faux mink coatdespit movi whole disappoint much succe campi comedi music number attempt feminist commentari existenti fall flat messag nose spell right audienc one strain brain scene cant funni hit home guitar gag gave colleg flashback littl subtleti could hurti also issu differ barbieland real world accept everyon barbieland talk mani term marvel speak youv watch anyth made past year youll recogn right away know make pop cultur refer like spiderman mcu alien say think bluntest way possibl awkward funni oooor novel new year ago staler pepsi clear oh yeah rememb macarenath barbi ken suppos simplist figur sen emot nuanc howev human real world suppos opposit messi complic charm also talk like feel lazyand existenti theme margot robi barbi get tire ideal independ womanhood etern paradis end choos human embrac mortal mortal ultim give live mean decent theme bad movi never realli delv given lip servic noth moreit cute moment honestli end experi meh hype memor finish product,Positive
